arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.502261919000026,0.0155911247831612,0.0102713092699403
int,check,notx,0.497738080999974,0.570532544725204,0.98972869073006
int,check,tpt,0,0.413876330491635,0
int,cost,att,28109.277396592,52906.6654825243,47138.1028061866
int,cost,notx,6244.76851571487,1147.1646648403,264.763574105939
int,cost,tpt,Inf,3486.73534985671,Inf
int,ppdcost,att,0.488139442918578,0.515354472631825,0.583387657652432
int,ppdcost,tpt,0.583038143361366,0.635105252844606,0.765560204860659
soc,check,att,0.0719229993015864,0.0036696043413028,0.0030215347628216
soc,check,notx,0.928077000698414,0.979001594232251,0.996978465237178
soc,check,tpt,0,0.0173288014264459,0
soc,cost,att,28305.1845507988,45092.2377380682,44775.1019005599
soc,cost,notx,486.728209309616,95.6253317782761,69.5746614657247
soc,cost,tpt,Inf,9198.91893692513,Inf
soc,ppdcost,att,0.491618109801072,0.524543551323678,0.555328014547092
soc,ppdcost,tpt,0.648195525541628,0.637852425406588,0.70260427058891
