arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.467695914498968,0.00547869153916281,0.0013083076827096
int,check,notx,0.532304085501031,0.596580648373808,0.998691692317291
int,check,tpt,0,0.397940660087029,0
int,cost,att,22289.8047190041,70306.856411396,115222.403508051
int,cost,notx,7397.25903051234,455.927195028663,115.369603898466
int,cost,tpt,Inf,2655.1175913228,Inf
int,ppdcost,att,0.375410419560881,0.394517203466049,0.66653863773695
int,ppdcost,tpt,0.581398895098273,0.639186231824036,0.741020651225085
soc,check,att,0.0715898445399258,0.00258146939371396,0.00178860844015241
soc,check,notx,0.928410155460075,0.974038172564718,0.998211391559848
soc,check,tpt,0,0.0233803580415698,0
soc,cost,att,22330.73202864,49273.0446269909,52289.1282898558
soc,cost,notx,620.60761199613,84.6214086704219,61.6603666516304
soc,cost,tpt,Inf,6581.49676200557,Inf
soc,ppdcost,att,0.377728027943886,0.490366445427981,0.545842775356613
soc,ppdcost,tpt,0.632586977133851,0.635437713563287,0.674387362331501
