arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.800520056950973,0.038945667575057,0.038945667575057
int,check,notx,0.199479943049028,0.961054332424941,0.961054332424941
int,cost,att,6242.44901570903,5937.80138509279,5937.80138509279
int,cost,notx,2484.12040990692,6.82207737972665,6.82207737972665
soc,check,att,0.803781774983922,0.0390237759815166,0.0390237759815166
soc,check,notx,0.196218225016078,0.960976224018484,0.960976224018484
soc,cost,att,6033.86616590921,7445.49507799395,7445.49507799395
soc,cost,notx,1461.27954048906,63.514271469911,63.514271469911
