arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.614821698280046,0.00723511756519351,0.00171377234036453
int,check,notx,0.385178301719953,0.56247155659454,0.998286227659635
int,check,tpt,0,0.430293325840266,0
int,cost,att,22154.8884256283,60547.0845098445,93564.2989319915
int,cost,notx,13282.3768287851,546.743214921017,123.069406984137
int,cost,tpt,Inf,2662.92604634028,Inf
int,ppdcost,att,0.373396958997763,0.385752917099573,0.636628620953162
int,ppdcost,tpt,0.5365232058112,0.635874775972693,0.721089013971174
soc,check,att,0.0715898445399258,0.00258146939371396,0.00178860844015241
soc,check,notx,0.928410155460075,0.974038172564718,0.998211391559848
soc,check,tpt,0,0.0233803580415698,0
soc,cost,att,22330.73202864,49273.0446269909,52289.1282898558
soc,cost,notx,620.60761199613,84.6214086704219,61.6603666516304
soc,cost,tpt,Inf,6581.49676200557,Inf
soc,ppdcost,att,0.377728027943886,0.490366445427981,0.545842775356613
soc,ppdcost,tpt,0.632586977133851,0.635437713563287,0.674387362331501
