arm,quantity,outcome,TBD,TBI,noTB
int,check,att,0.421005094632113,0.00750790196682424,0.00343032064909967
int,check,notx,0.578994905367887,0.603962287297469,0.9965696793509
int,check,tpt,0,0.388529810735706,0
int,cost,att,22339.1291484455,59879.1712641687,65285.5823896471
int,cost,notx,6051.96581731009,511.738568360099,155.402197841124
int,cost,tpt,Inf,2728.9833999866,Inf
int,ppdcost,att,0.376621572706744,0.387398850611355,0.557560109450587
int,ppdcost,tpt,0.598285734847484,0.631040105176148,0.655781561837908
soc,check,att,0.0715898445399258,0.00258146939371396,0.00178860844015241
soc,check,notx,0.928410155460075,0.974038172564718,0.998211391559848
soc,check,tpt,0,0.0233803580415698,0
soc,cost,att,22330.73202864,49273.0446269909,52289.1282898558
soc,cost,notx,620.60761199613,84.6214086704219,61.6603666516304
soc,cost,tpt,Inf,6581.49676200557,Inf
soc,ppdcost,att,0.377728027943886,0.490366445427981,0.545842775356613
soc,ppdcost,tpt,0.632586977133851,0.635437713563287,0.674387362331501
