scenario,dC.m,dC.lo,dC.hi,dQ.m,dQ.lo,dQ.hi
Base case,439484891.130292,301609142.659831,596776455.632273,5588.04262394564,1440.66453098831,14927.4969458158
"Targeted, group 1",-381718.294108377,-58107148.3181007,42647297.3747384,600.085319038072,-79.8234220005233,1790.06397031932
"Targeted, group 2",92703553.8125397,30996532.7408225,147232159.534801,1372.43274842134,262.042782488077,3704.32921339228
