variable,value,Rhat,ESS
N,87 300 (85 900 to 88 800),1,6463
E,12 800 (12 600 to 13 000),1,6037
R,15 900 (15 700 to 16 200),1,6396
S,17 900 (11 600 to 25 400),1,2301
L,31 900 (16 900 to 45 700),1,1196
Omega,16 100 (6 060 to 26 700),1,1353
Sentenced,6 200 (6 100 to 6 300),1,6492
Released,12 300 (12 100 to 12 500),1,6316
