name,variable,mean,sd
remand timescale,dR,1.1,0.041
short timescale,dS,2.2,0.4
long timescale,dL,180,31
open timescale,dom,5.3,1.6
short transfer rate,ts,0.093,0.07
long transfer rate,tl,0.055,0.035
fraction sentenced,ps,0.52,0.054
sentenced long,pl,0.092,0.062
